countries,Year,Territorial GHG emissions [t],Residential GHG emissions [t],Transfer GHG emissions [t],Footprint GHG emissions [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t],External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro],GDP [EURO]
Belgium,1990,142908440.0,,-34670400.0,,,9947782.0,7.0,258.0,422440.0,364550.0,131562.0,48616.0,66988.0,353481.0,6.0,6.0,38.0,77.0,67208813911.0,176750076305.0,73210968391.0,182752230785.0,133089604751.0,242630867145.0,,,,,,,,,,,,,
Bulgaria,1990,82655300.0,,15312400.0,,,8767308.0,20.0,385.0,305901.0,1464653.0,113228.0,42668.0,68223.0,476460.0,7.0,3.0,19.0,84.0,54683047513.0,134278355808.0,58154570113.0,137749878408.0,92787140813.0,172382449108.0,,,,,,,,,,,,,
Cyprus,1990,5499590.0,,-2147000.0,,,572655.0,0.0,25.0,18135.0,31918.0,5631.0,2725.0,5439.0,13334.0,0.0,0.0,0.0,6.0,1812385661.0,2412802202.0,2043368441.0,2643784982.0,4347696651.0,4948113192.0,,,,,,,,,,,,,
Czechia,1990,192141740.0,,12895800.0,,,10362102.0,70.0,317.0,760291.0,1753815.0,135773.0,298976.0,433081.0,554501.0,5.0,5.0,26.0,55.0,133443231390.0,372904766483.0,141513184470.0,380974719563.0,222020573530.0,461482108623.0,,,,,,,,,,,,,
Germany,1990,1287200400.0,,-140185200.0,,1245386.0,62679035.0,86.0,1899.0,2843280.0,5464106.0,725519.0,232873.0,548673.0,3948879.0,29.0,36.0,166.0,333.0,469657651289.0,1244395909336.0,523720068089.0,1298458326136.0,1063057035689.0,1837795293736.0,,,,,,,,,,,,,1245386000000.0
Denmark,1990,78412430.0,,-8550600.0,,108898.0,5135409.0,1.0,132.0,294287.0,178013.0,141265.0,23070.0,35138.0,212371.0,1.0,3.0,6.0,19.0,17886384483.0,36228815289.0,21179706543.0,39522137349.0,54034514713.0,72376945519.0,,,,,,,,,,,,,108898000000.0
Estonia,1990,36580890.0,,5558000.0,,,1570599.0,20.0,202.0,74611.0,278247.0,20724.0,12926.0,53167.0,64059.0,4.0,1.0,17.0,26.0,11218392348.0,13940481011.0,12754789728.0,15476878391.0,28082182638.0,30804271301.0,,,,,,,,,,,,,
Greece,1990,101738100.0,,-13041900.0,,,10120892.0,2.0,505.0,409327.0,511846.0,90890.0,60818.0,85198.0,321014.0,8.0,2.0,6.0,42.0,39861502570.0,75797207482.0,44134502770.0,80070207682.0,86762766670.0,122698471582.0,,,,,,,,,,,,,
Spain,1990,253814280.0,,-34413500.0,,,38853227.0,10.0,3179.0,1311378.0,2049593.0,488746.0,217017.0,311380.0,1025596.0,26.0,10.0,27.0,164.0,219031285303.0,426632752004.0,229691485063.0,437292951764.0,336039668383.0,543641135084.0,,,,,,,,,,,,,
Finland,1990,45447250.0,,-23781800.0,,111394.9,4974383.0,35.0,321.0,306578.0,248820.0,35872.0,47150.0,73970.0,235049.0,7.0,1.0,48.0,78.0,19924467053.0,30724943984.0,21833251553.0,32633728484.0,40875649303.0,51676126234.0,,,,,,,,,,,,,111394900000.0
France,1990,522168760.0,,-99649200.0,,999521.7,,17.0,4288.0,2182493.0,1286891.0,675460.0,467778.0,588533.0,2928043.0,20.0,26.0,399.0,286.0,336028415945.0,683968477129.0,357959503865.0,705899565049.0,576748214305.0,924688275489.0,,,,,,,,,,,,,999521700000.0
Croatia,1990,25141980.0,,1974600.0,,,4772556.0,9.0,523.0,105859.0,170560.0,50074.0,40353.0,59666.0,171757.0,1.0,1.0,5.0,17.0,30223546425.0,57834954172.0,31279509585.0,58890917332.0,41813999205.0,69425406952.0,,,,,,,,,,,,,
Hungary,1990,91623490.0,,-18426400.0,,,10374823.0,4.0,818.0,246549.0,829286.0,137767.0,56749.0,81513.0,310634.0,2.0,3.0,18.0,12.0,70314017372.0,154691887545.0,74162203952.0,158540074125.0,112552446262.0,196930316435.0,,,,,,,,,,,,,
Ireland,1990,61652280.0,,-6602500.0,,,3506970.0,2.0,161.0,168724.0,183074.0,110699.0,28556.0,44804.0,154465.0,1.0,1.0,5.0,22.0,17881772362.0,33567175179.0,20471168122.0,36156570939.0,46303473442.0,61988876259.0,,,,,,,,,,,,,
Italy,1990,517991610.00000006,,-128303500.0,,,56694360.0,37.0,4304.0,2124051.0,1783444.0,468959.0,238043.0,343793.0,1981510.0,11.0,15.0,96.0,116.0,383569552362.0,920688062499.0,405325199982.0,942443710119.0,622363684572.0,1159482194709.0,,,,,,,,,,,,,
Lithuania,1990,42821000.0,,-7483400.0,,,3693708.0,1.0,10.0,151439.0,218332.0,84940.0,16078.0,19662.0,128062.0,0.0,0.0,3.0,32.0,6603150615.0,15041215129.0,8401632615.0,16839697129.0,26343631615.0,34781696129.0,,,,,,,,,,,,,
Latvia,1990,13673030.0,,-1901400.0,,,2668140.0,17.0,233.0,98936.0,100460.0,33331.0,25646.0,31200.0,86492.0,1.0,0.0,3.0,15.0,11574546957.0,18759099088.0,12148814217.0,19333366348.0,17877813787.0,25062365918.0,,,,,,,,,,,,,
Malta,1990,2618430.0,,-968140.0,,,352430.0,0.0,0.0,7232.0,12788.0,2206.0,524.0,888.0,4585.0,0.0,0.0,0.0,4.0,382678491.0,803889944.0,492652551.0,913864004.0,1589774721.0,2010986174.0,,,,,,,,,,,,,
Netherlands,1990,228935360.0,,-39432400.0,,,14892574.0,2.0,339.0,679525.0,198101.0,344489.0,57120.0,80163.0,607153.0,4.0,4.0,12.0,76.0,74107079732.0,181640706274.0,83722364852.0,191255991394.0,179646280692.0,287179907234.0,,,,,,,,,,,,,
Norway,1990,41476600.0,,,,94339.9,4233116.0,3.0,189.0,196598.0,49474.0,31462.0,41452.0,52980.0,325408.0,2.0,1.0,11.0,0.0,12324176580.588234,18271543988.588234,14066193780.588234,20013561188.588234,31444889180.588234,37392256588.588234,,,,,,,,,,,,,94339900000.0
Poland,1990,446344590.0,,54084400.0,,,38038403.0,144.0,544.0,1121251.0,2553498.0,494745.0,422497.0,787189.0,840949.0,12.0,15.0,56.0,200.0,148416990632.0,347325420622.0,167163463412.0,366071893402.0,354181846622.0,553090276612.0,,,,,,,,,,,,,
Portugal,1990,66689409.99999999,,-6655400.0,,,9995995.0,3.0,570.0,260101.0,317733.0,72922.0,63837.0,79999.0,249398.0,2.0,2.0,12.0,111.0,37434856970.0,72105968421.0,40235812190.0,74906923641.0,68178674979.99999,102849786431.0,,,,,,,,,,,,,
Romania,1990,228533250.0,,13237100.0,,,23211395.0,73.0,729.0,473801.0,819340.0,320294.0,77282.0,132617.0,395300.0,5.0,4.0,25.0,113.0,79860817434.0,168064542121.0,89459213934.0,177662938621.0,185214645684.0,273418370371.0,,,,,,,,,,,,,
Sweden,1990,25142830.0,,-28112100.0,,,8527039.0,6.0,369.0,289244.0,102398.0,60349.0,45509.0,66616.0,366673.0,2.0,2.0,23.0,28.0,18335603802.0,27730719463.0,19391602662.0,28786718323.0,29926448432.0,39321564093.0,,,,,,,,,,,,,
Slovenia,1990,14403090.0,,-1377500.0,,,1996377.0,1.0,43.0,75153.0,202943.0,23820.0,13818.0,16389.0,65056.0,1.0,0.0,2.0,3.0,13645412897.0,39528686262.0,14250342677.0,40133616042.0,20285237387.0,46168510752.0,,,,,,,,,,,,,
Slovakia,1990,64493629.99999999,,-11640800.0,,,5287663.0,3.0,54.0,136338.0,139660.0,57550.0,96425.0,107941.0,255147.0,1.0,2.0,6.0,7.0,26395914229.0,67750206849.0,29104646689.0,70458939309.0,56127477659.0,97481770279.0,,,,,,,,,,,,,
Belgium,1991,146108990.0,,-32326700.000000004,,,9986975.0,7.0,243.0,421288.0,365687.0,129484.0,47693.0,65712.0,346853.0,6.0,6.0,56.0,83.0,66612136163.0,175335750097.0,72748713743.0,181472327677.0,133968380553.0,242691994487.0,,,,,,,,,,,,,
