countries,Year,External costs per capita (Territorial & Low GHG with VOLY) scenario [Euro],External costs per capita (Territorial & Low GHG with VSL) scenario [Euro],External costs per capita (Territorial & Central GHG with VOLY) scenario [Euro],External costs per capita (Territorial & Central GHG with VSL) scenario [Euro],External costs per capita (Territorial & High GHG with VOLY) scenario [Euro],External costs per capita (Territorial & High GHG with VSL) scenario [Euro],External costs per capita (Residential & Low GHG with VOLY) scenario [Euro],External costs per capita (Residential & Low GHG with VSL) scenario [Euro],External costs per capita (Residential & Central GHG with VOLY) scenario [Euro],External costs per capita (Residential & Central GHG with VSL) scenario [Euro],External costs per capita (Residential & High GHG with VOLY) scenario [Euro],External costs per capita (Residential & High GHG with VSL) scenario [Euro],External costs per capita (Footprint & Low GHG with VOLY) scenario [Euro],External costs per capita (Footprint & Low GHG with VSL) scenario [Euro],External costs per capita (Footprint & Central GHG with VOLY) scenario [Euro],External costs per capita (Footprint & Central GHG with VSL) scenario [Euro],External costs per capita (Footprint & High GHG with VOLY) scenario [Euro],External costs per capita (Footprint & High GHG with VSL) scenario [Euro]
Belgium,1990,6756.160711101228,17767.787463074685,7359.526816228985,18371.15356820244,13378.822007860646,24390.4487598341,,,,,,,,,,,,
Bulgaria,1990,6237.15369791959,15315.802274540829,6633.115902053401,15711.76447867464,10583.310271864522,19661.95884848576,,,,,,,,,,,,
Cyprus,1990,3164.882278160498,4213.360927609119,3568.236444281461,4616.715093730082,7592.174434869162,8640.653084317782,,,,,,,,,,,,
Czechia,1990,12878.007897432393,35987.36689553915,13656.802883237397,36766.16188134415,21426.21000353017,44535.569001636926,,,,,,,,,,,,
Germany,1990,7493.058106095603,19853.463113080794,8355.586011957586,20715.991018942776,16960.328691866427,29320.733698851618,,,,,,,,,,,,
Denmark,1990,3482.952279555533,7054.708843833081,4124.249216177329,7696.005780454877,10521.949607713816,14093.706171991364,,,,,,,,,,,,
Estonia,1990,7142.747670156418,8875.900857570901,8120.971507049221,9854.124694463704,17879.91883224171,19613.072019656196,,,,,,,,,,,,
Greece,1990,3938.536501525755,7489.182522844824,4360.732509545602,7911.378530864671,8572.64030383883,12123.286325157902,,,,,,,,,,,,
Spain,1990,5637.402661637346,10980.625933696576,5911.773687755717,11254.996959814947,8648.95130546042,13992.174577519649,,,,,,,,,,,,
Finland,1990,4005.41475254318,6176.634164277258,4389.137618273462,6560.357030007541,8217.230016868423,10388.449428602502,,,,,,,,,,,,
France,1990,,,,,,,,,,,,,,,,,,
Croatia,1990,6332.779840613709,12118.234793263819,6554.037204592256,12339.492157242366,8761.34281190205,14546.79776455216,,,,,,,,,,,,
Hungary,1990,6777.370310028422,14910.315823701281,7148.286187822192,15281.231701495051,10848.613635336236,18981.559149009096,,,,,,,,,,,,
Ireland,1990,5098.9236754235135,9571.560400858862,5837.280650247935,10309.917375683282,13203.270470520136,17675.907195955482,,,,,,,,,,,,
Italy,1990,6765.568080528646,16239.500057836442,7149.303739948736,16623.23571725653,10977.523770830114,20451.45574813791,,,,,,,,,,,,
Lithuania,1990,1787.6753156990212,4072.1180799889976,2274.579532274885,4559.022296564861,7132.028740496,9416.471504785977,,,,,,,,,,,,
Latvia,1990,4338.0583316467655,7030.777653346526,4553.289638849536,7246.008960549297,6700.478155943841,9393.197477643602,,,,,,,,,,,,
Malta,1990,1085.828365916636,2280.991811139801,1397.8734812586897,2593.0369264818546,4510.894989075845,5706.05843429901,,,,,,,,,,,,
Netherlands,1990,4976.109551780639,12196.73014711896,5621.7524822774085,12842.37307761573,12062.809336518992,19283.429931857314,,,,,,,,,,,,
Norway,1990,2911.372280038684,4316.334347697591,3322.8935329408014,4727.855600599708,7428.307936892878,8833.270004551785,,,,,,,,,,,,
Poland,1990,3901.7671333888543,9130.914897294715,4394.597307673511,9623.745071579371,9311.164998751394,14540.312762657255,,,,,,,,,,,,
Portugal,1990,3744.985563718269,7213.485843180194,4025.1933089202225,7493.693588382147,6820.5991479587565,10289.099427420682,,,,,,,,,,,,
Romania,1990,3440.586721909648,7240.604975314926,3854.107602494378,7654.125855899656,7979.470673089661,11779.48892649494,,,,,,,,,,,,
Sweden,1990,2150.2896611590495,3252.0924863836085,2274.1308749731297,3375.9337001976887,3509.5944127850244,4611.397238009584,,,,,,,,,,,,
Slovenia,1990,6835.088210793853,19800.21121361346,7138.102010291644,20103.225013111252,10161.025390995788,23126.148393815398,,,,,,,,,,,,
Slovakia,1990,4991.981188854131,12812.882902900583,5504.255223716035,13325.156937762486,10614.798571505029,18435.70028555148,,,,,,,,,,,,
Belgium,1991,6669.90116256424,17556.442275764184,7284.359252226024,18170.90036542597,13414.310194328113,24300.851307528057,,,,,,,,,,,,
Bulgaria,1991,4729.118886725051,12403.099310218659,5041.674748124668,12715.655171618277,8159.791555897043,15833.771979390649,,,,,,,,,,,,
Cyprus,1991,3203.6378876624185,4230.340953876496,3632.071636966248,4658.7747031803265,7906.208326449694,8932.911392663773,,,,,,,,,,,,
Czechia,1991,11222.293985301914,31449.13365507292,11926.168607594642,32153.008277365647,18948.155910943522,39174.99558071453,,,,,,,,,,,,
Germany,1991,4771.080333589511,12485.473852913814,5392.554575879419,13106.948095203721,11592.499993009687,19306.89351233399,,,,,,,,,,,,
Denmark,1991,3755.6020154789626,7949.544115586823,4477.248460837906,8671.190560945766,11676.530856204516,15870.472956312376,,,,,,,,,,,,
Estonia,1991,6578.732235198364,8176.694169793762,7485.152153182684,9083.114087778082,16527.76990640721,18125.73184100261,,,,,,,,,,,,
Greece,1991,3769.9690963156586,7247.545255279264,4185.498842124231,7663.0750010878355,8330.902734833551,11808.478893797155,,,,,,,,,,,,
Spain,1991,4718.621404529094,10087.769705095103,5000.955160583658,10370.103461149665,7817.570488842279,13186.718789408287,,,,,,,,,,,,
Finland,1991,3039.994670377663,5005.85580410677,3300.1359253756846,5265.997059104791,5895.354635951184,7861.215769680291,,,,,,,,,,,,
France,1991,5167.151977436968,11499.781209919724,5561.813743140753,11894.44297562351,9499.034691471377,15831.663923954133,,,,,,,,,,,,
Croatia,1991,4641.372165073703,9400.742909665238,4793.619013215523,9552.989757807058,6312.462569677965,11071.8333142695,,,,,,,,,,,,
Hungary,1991,6288.971510108836,14126.264138203687,6637.819182557126,14475.111810651979,10117.990010076976,17955.282638171826,,,,,,,,,,,,
Ireland,1991,4954.202997349883,9429.213127492738,5698.152389805443,10173.162519948299,13119.933233588292,17594.943363731145,,,,,,,,,,,,
Italy,1991,6606.983402209487,17212.079206604652,6979.849418509784,17584.94522290495,10699.63181921989,21304.727623615057,,,,,,,,,,,,
Lithuania,1991,1887.0268530143967,4330.628995712551,2391.5285883076244,4835.130731005778,7424.533995161492,9868.136137859647,,,,,,,,,,,,
Latvia,1991,3465.5988207636783,6115.148202836473,3645.098602755815,6294.647984828609,5435.822618344036,8085.37200041683,,,,,,,,,,,,
Malta,1991,1009.262130154625,2127.778860925981,1296.1231003459443,2414.6398311173007,4157.902779159344,5276.419509930701,,,,,,,,,,,,
Netherlands,1991,4796.884531870974,11854.367614284587,5459.707678020205,12517.190760433818,12072.157636032776,19129.64071844639,,,,,,,,,,,,
Norway,1991,2463.490516935556,3775.977753601493,2832.5068022928526,4144.99403895879,6513.883553833502,7826.37079049944,,,,,,,,,,,,
Poland,1991,3803.1372484886006,8895.399333921026,4289.401614769443,9381.663700201869,9140.467554571178,14232.729640003603,,,,,,,,,,,,
Portugal,1991,3904.6742747888484,7419.876351407124,4154.228668621578,7669.430745239854,6643.830835667149,10159.032912285424,,,,,,,,,,,,
Romania,1991,2637.56743974308,5825.303709502569,2965.959191237565,6153.695460997054,6242.057854956353,9429.794124715843,,,,,,,,,,,,
Sweden,1991,1963.352134127532,3055.4803220485574,2088.1228808597275,3180.251068780753,3332.8596161166292,4424.987804037655,,,,,,,,,,,,
Slovenia,1991,6403.547814064887,18645.64089062449,6670.260188655188,18912.353265214795,9331.033639925097,21573.126716484705,,,,,,,,,,,,
Slovakia,1991,4544.886165524729,11640.702266419694,4974.02725793213,12069.843358827095,9255.220536948818,16351.036637843785,,,,,,,,,,,,
Belgium,1992,6635.9993379562975,17339.0420136825,7246.962230880732,17950.004906606937,13342.044424579253,24045.08710030546,,,,,,,,,,,,
Bulgaria,1992,4478.686385320631,11568.50519151669,4769.229305337175,11859.048111533233,7667.740816930788,14757.559623126846,,,,,,,,,,,,
Cyprus,1992,3279.9015237062426,4374.868059873746,3727.6636205807295,4822.630156748232,8194.623587019065,9289.590123186568,,,,,,,,,,,,
Czechia,1992,9772.519050384057,26869.361565832227,10451.044555428978,27547.88707087715,17220.14423671046,34316.986752158635,,,,,,,,,,,,
Germany,1992,4161.991872718238,10889.888536523225,4749.157646424588,11477.054310229576,10606.835246018902,17334.731909823888,,,,,,,,,,,,
Denmark,1992,3359.8122963290707,6964.244299151163,4038.638911564731,7643.070914386824,10810.742525463345,14415.174528285439,,,,,,,,,,,,
Estonia,1992,4632.795655350452,5952.332123163361,5298.704826359367,6618.241294172276,11941.941556186403,13261.47802399931,,,,,,,,,,,,
Greece,1992,3662.7912230182933,7098.815346204164,4078.924828711577,7514.948951897448,8230.352942651716,11666.377065837587,,,,,,,,,,,,
Spain,1992,4083.2519419822156,9402.673833719798,4374.293477155302,9693.715368892885,7277.779268524898,12597.20116026248,,,,,,,,,,,,
Finland,1992,2457.669477164654,4192.521213354061,2754.8178974675293,4489.669633656937,5719.227138108117,7454.078874297525,,,,,,,,,,,,
France,1992,4559.631930588817,10565.066492294298,4946.956363509908,10952.390925215388,8810.978682413168,14816.413244118648,,,,,,,,,,,,
Croatia,1992,3953.715229233235,8484.04250016047,4093.9963340959753,8624.323605023212,5493.467356417127,10023.794627344363,,,,,,,,,,,,
Hungary,1992,4484.046880716107,11489.518396182171,4790.7980878855815,11796.269603351646,7851.006559409627,14856.478074875693,,,,,,,,,,,,
Ireland,1992,4893.415730606299,9165.607069727008,5629.326413421088,9901.517752541795,12970.911558644812,17243.10289776552,,,,,,,,,,,,
Italy,1992,5655.967549583452,15020.677818755254,6029.5904331542,15394.300702326002,9756.923485919511,19121.633755091312,,,,,,,,,,,,
Lithuania,1992,1068.0496989044866,2460.255238986385,1358.8547041131867,2751.060244195085,4259.980827504743,5652.186367586641,,,,,,,,,,,,
Latvia,1992,2717.8131403707907,5049.063687097994,2816.3172039349224,5147.567750662126,3799.012504729474,6130.263051456678,,,,,,,,,,,,
Malta,1992,1018.5211260289627,2150.687876078856,1306.504755577791,2438.6715056276844,4179.484297981579,5311.651048031473,,,,,,,,,,,,
Netherlands,1992,4438.386654042031,10933.079374783118,5096.8950130707935,11591.587733811879,11666.299832905352,18160.992553646436,,,,,,,,,,,,
Norway,1992,2260.4734109466667,3545.7038427056805,2618.1316802322444,3903.3621119912577,6186.1987000097915,7471.429131768805,,,,,,,,,,,,
Poland,1992,3609.441870895538,8305.785925092823,4103.892535599649,8800.236589796932,9036.62654776685,13732.970601964133,,,,,,,,,,,,
Portugal,1992,4238.724837686403,7985.3459142681895,4477.038137074776,8223.659213656563,6854.497004782599,10601.118081364386,,,,,,,,,,,,
Romania,1992,2391.9575507885015,5553.452947134891,2694.5707690496747,5856.066165396063,5713.497875036141,8874.99327138253,,,,,,,,,,,,
Sweden,1992,1847.1788943235401,2890.1080709198854,1974.3372794454497,3017.2664560417948,3242.8935500664033,4285.822726662749,,,,,,,,,,,,
Slovenia,1992,6439.97819163625,18887.434659955015,6704.061823131784,19151.51829145055,9338.61043257532,21786.066900894086,,,,,,,,,,,,
Slovakia,1992,4245.202496772489,10878.05891828681,4625.157389984699,11258.01381149902,8415.65977703032,15048.516198544641,,,,,,,,,,,,
Belgium,1993,6288.395324184702,16613.516370011715,6891.5518213119785,17216.672867138994,12908.755923605519,23233.876969432535,,,,,,,,,,,,
Bulgaria,1993,6172.459139410972,14990.66930603358,6461.851880342676,15280.062046965284,9348.888986304199,18167.099152926807,,,,,,,,,,,,
Cyprus,1993,3267.7911441772135,4368.178910616555,3723.5456525916825,4823.933419031024,8270.239438916979,9370.62720535632,,,,,,,,,,,,
Czechia,1993,8912.227372641286,24422.68191348245,9560.149871238717,25070.604412079883,16023.948131055948,31534.40267189711,,,,,,,,,,,,
Germany,1993,3845.0857877316444,10049.398770926184,4421.842476419035,10626.155459613574,10175.677061181334,16379.990044375872,,,,,,,,,,,,
Denmark,1993,2979.5864872387715,6309.009743439678,3663.7804959026093,6993.203752103515,10489.430249001372,13818.85350520228,,,,,,,,,,,,
Estonia,1993,3819.835569703759,4998.881056942255,4321.143606543493,5500.189093781988,9322.288069301789,10501.333556540283,,,,,,,,,,,,
Greece,1993,3550.317506311501,6920.261777106187,3960.109262735024,7330.05353352971,8048.269880388742,11418.214151183429,,,,,,,,,,,,
Spain,1993,3757.235852408848,8848.437905590648,4034.649634191943,9125.851687373743,6802.182361980433,11893.384415162232,,,,,,,,,,,,
Finland,1993,2027.669246102162,3667.4982073131023,2336.1091218524616,3975.938083063402,5413.164072789972,7052.993034000912,,,,,,,,,,,,
France,1993,4185.519454961813,9775.120127135975,4552.999356654456,10142.60002882862,8219.048852112022,13808.649524286184,,,,,,,,,,,,
Croatia,1993,4028.8369911481504,8750.066827546863,4168.800084113095,8890.029920511808,5565.098559168141,10286.328395566854,,,,,,,,,,,,
Hungary,1993,4335.429315675248,11278.538543381668,4635.68429600093,11578.793523707349,7631.085171154752,14574.194398861171,,,,,,,,,,,,
Ireland,1993,4589.204024411051,8657.337891004203,5328.849289243723,9396.983155836875,12707.691336026808,16775.82520261996,,,,,,,,,,,,
Italy,1993,5437.110652933542,14498.488277132235,5814.865510491233,14876.243134689927,9583.41992279297,18644.797546991664,,,,,,,,,,,,
Lithuania,1993,866.7036253268539,2059.453960539036,1077.974280501872,2270.724615714054,3185.6505785574113,4378.400913769593,,,,,,,,,,,,
Latvia,1993,2851.6261239328223,5170.349196244694,2898.131782996703,5216.854855308575,3362.081096038752,5680.804168350624,,,,,,,,,,,,
Malta,1993,1312.1770229121273,2655.5514744691504,1665.8316763881935,3009.2061279452164,5193.957862256567,6537.33231381359,,,,,,,,,,,,
Netherlands,1993,4243.977295303645,10485.624720605083,4898.688566551669,11140.335991853106,11430.212915430762,17671.8603407322,,,,,,,,,,,,
Norway,1993,2030.6102536771864,3371.7826038092003,2390.329748174609,3731.502098306623,5978.959943279847,7320.132293411861,,,,,,,,,,,,
Poland,1993,3751.697117203169,8717.24602205814,4236.44035390811,9201.989258763082,9072.331215321692,14037.880120176662,,,,,,,,,,,,
Portugal,1993,4262.441125216199,7761.756091085467,4490.82977738329,7990.144743252558,6769.278474002603,10268.593439871871,,,,,,,,,,,,
Romania,1993,2382.3605207148325,5519.34766106316,2663.582753946446,5800.569894294773,5469.109318804683,8606.09645915301,,,,,,,,,,,,
Sweden,1993,1239.916670281096,2240.843856193036,1386.713457170393,2387.640643082333,2851.186164470762,3852.113350382702,,,,,,,,,,,,
Slovenia,1993,6479.172144202551,18997.617850100596,6748.854073348966,19267.299779247012,9439.252366500108,21957.698072398154,,,,,,,,,,,,
