countries,Year,GrDP (Territorial & Low GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Low GHG with VSL) scenario [Million Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Central GHG with VSL) scenario [Million Euro],GrDP (Territorial & High GHG with VOLY) scenario [Million Euro],GrDP (Territorial & High GHG with VSL) scenario [Million Euro],GrDP (Residential & Low GHG with VOLY) scenario [Million Euro],GrDP (Residential & Low GHG with VSL) scenario [Million Euro],GrDP (Residential & Central GHG with VOLY) scenario [Million Euro],GrDP (Residential & Central GHG with VSL) scenario [Million Euro],GrDP (Residential & High GHG with VOLY) scenario [Million Euro],GrDP (Residential & High GHG with VSL) scenario [Million Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Low GHG with VSL) scenario [Million Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Central GHG with VSL) scenario [Million Euro],GrDP (Footprint & High GHG with VOLY) scenario [Million Euro],GrDP (Footprint & High GHG with VSL) scenario [Million Euro]
Belgium,1995,161395.369487,67013.702196,155040.939587,60659.27229600001,91647.936537,-2733.7307539999892,,,,,,,,,,,,
Bulgaria,1995,-40665.033190999995,-117229.077733,-43004.783471,-119568.82801299998,-66346.57793099999,-142910.622473,,,,,,,,,,,,
Cyprus,1995,5531.790172,4853.2105,5241.972952,4563.39328,2350.7011620000003,1672.1214900000004,,,,,,,,,,,,
Czechia,1995,-27096.130933999993,-146711.704536,-33406.07947399999,-153021.653076,-96355.32800400001,-215970.901606,,,,,,,,,,,,
Germany,1995,1723724.644635,1333697.3999470002,1677627.867615,1287600.6229270003,1217757.6397250001,827730.3950370001,,,,,,,,,,,,
Denmark,1995,127363.30039799999,110851.941175,123792.066438,107280.707215,88164.756218,71653.396995,126862.3453707,110350.9861477,122957.1413925,106445.78216949999,83998.0826576,67486.7234346,126452.9209707,109941.5617477,122274.7673925,105763.4081695,80592.7114576,64081.35223460001
Estonia,1995,-2032.9965470000002,-3614.632174,-2735.182787,-4316.818413999999,-9740.326467,-11321.962094,,,,,,,,,,,,
Greece,1995,68080.69481000002,32884.651994000014,63606.02279000001,28409.979974000016,18965.84240000001,-16230.200415999992,,,,,,,,,,,,
Spain,1995,335664.241435,146046.88703000004,323460.038935,133842.68453000003,201708.59018500004,12091.235780000046,,,,,,,,,,,,
Finland,1995,93526.301235,86145.486027,91550.32681500001,84169.51160700001,71837.629625,64456.81441700001,,,,,,,,,,,,
France,1995,1002862.99087,699620.1365039999,981372.23263,678129.3782639999,766976.33495,463733.480584,,,,,,,,,,,,
Croatia,1995,-235.43510599999718,-20085.953932,-831.0677660000001,-20681.586591999996,-6773.212635999997,-26623.731462,,,,,,,,,,,,
Hungary,1995,-3058.177837999996,-68294.469071,-6052.237298,-71288.52853099999,-35921.544768,-101157.83600099999,-3625.639483729996,-68861.93071672998,-6998.006707549997,-72234.29794055,-40641.38448803999,-105877.67572103997,-4554.360283729991,-69790.65151673,-8545.87470755,-73782.16594055001,-48365.982888039995,-113602.27412103998
Ireland,1995,37354.317235,22968.496878000005,34549.438375000005,20163.618018000005,6567.4326049999945,-7818.387752000002,,,,,,,,,,,,
Italy,1995,606171.222969,111471.22210500005,584678.3874090001,89978.38654500013,370261.7659890001,-124438.23487499985,,,,,,,,,,,,
Lithuania,1995,2274.925739,-1485.2631430000001,1522.2924589999998,-2237.896423,-5986.120501,-9746.309383,,,,,,,,,,,,
Latvia,1995,-2269.428164,-7805.929537,-2176.3393640000004,-7712.840737,-1247.6677639999998,-6784.169137000001,,,,,,,,,,,,
Malta,1995,2417.8071569999997,1979.482484,2304.950637,1866.6259639999998,1179.0724969999999,740.747824,2401.75628286,1963.43160986,2278.1991801,1839.8745070999998,1045.5699882800002,607.2453152800003,2321.45648286,1883.13180986,2144.3661801,1706.0415071000002,377.6795882800002,-60.645084719999886
Netherlands,1995,289397.413705,208205.420758,279399.629965,198207.637018,179659.835035,98467.842088,288845.61235671997,207653.61940972,278479.9610512,197287.9681042,175070.24921756,93878.25627056,285947.00755672,204755.01460972,273648.9530512,192456.9601042,150961.21881756,69769.22587055998
Norway,1995,109622.80817547059,103494.8441574706,108069.34787547059,101941.38385747059,92571.73202547058,86443.76800747059,,,,,,,,,,,,
Poland,1995,-25878.687088999985,-198792.85686799997,-43914.02594899997,-216828.195728,-223838.00171899996,-396752.1714979999,,,,,,,,,,,,
Portugal,1995,46248.296569000006,10451.487212000007,43758.399229,7961.589872000011,18918.709099,-16878.10025799999,45543.53271256,9746.72335556001,42583.7928016,6786.983444600017,13056.863689880018,-22739.945667119988,44970.44061256,9173.631255560002,41628.6393016,5831.8299446000165,8290.19288988001,-27506.61646711998
Romania,1995,-27259.607734,-100481.396551,-33879.633453999995,-107101.422271,-99922.27099399999,-173144.059811,,,,,,,,,,,,
Sweden,1995,197456.56409200002,189171.717354,196167.760912,187882.914174,183310.414902,175025.568164,,,,,,,,,,,,
Slovenia,1995,5555.088634,-15241.722656,4978.543713999999,-15818.267576,-773.1782259999982,-21569.989515999994,,,,,,,,,,,,
Slovakia,1995,-2039.3855669999994,-28273.365931999993,-3877.9401869999983,-30111.920551999996,-22219.711276999995,-48453.691642,-2638.8854859899966,-28872.865850989998,-4877.106718650002,-31111.087083649996,-27206.028063519996,-53440.00842851998,-2789.8208859899987,-29023.801250989993,-5128.66571865,-31362.646083649997,-28461.427263519996,-54695.40762851998
Belgium,1996,161653.158269,69632.72935799998,155153.74982899998,63133.32091799998,90314.41324899999,-1706.0156619999907,,,,,,,,,,,,
Bulgaria,1996,-45355.497019,-121354.638624,-47738.58751899999,-123737.72912399999,-71512.75226899999,-147511.893874,,,,,,,,,,,,
Cyprus,1996,5812.929503,5116.164926,5508.441263000001,4811.676686000001,2470.808583000001,1774.044006000001,,,,,,,,,,,,
Czechia,1996,-17054.276733999992,-129236.392692,-23514.890613999996,-135697.00657199998,-87967.20527399998,-200149.321232,,,,,,,,,,,,
Germany,1996,1729687.104371,1370166.4822240002,1682598.759011,1323078.136864,1212836.456491,853315.8343440001,,,,,,,,,,,,
Denmark,1996,132270.13027,114128.36042099999,128176.52677,110034.756921,87337.95852,69196.188671,131725.98333289,113584.21348389,127269.61520815,109127.84535915,82812.03796372,64670.268114720006,131843.19483289,113701.42498389,127464.96770815,109323.19785915001,83786.93996372,65645.17011472
Estonia,1996,-494.1880540000002,-2098.0783469999997,-1220.874154,-2824.7644469999996,-8470.433104,-10074.323397,,,,,,,,,,,,
Greece,1996,77888.223656,41851.967972,73260.200816,37223.94513199999,27090.163436000003,-8946.092248,,,,,,,,,,,,
Spain,1996,380823.711597,201472.33879299997,369009.030957,189657.658153,251143.52647699998,71792.153673,,,,,,,,,,,,
Finland,1996,95794.823473,88382.903938,93835.27441299999,86423.354878,74286.439743,66874.520208,,,,,,,,,,,,
France,1996,1047144.1291689998,741323.97206,1025190.1718289999,719370.01472,806173.311699,500353.15458999993,,,,,,,,,,,,
Croatia,1996,2933.2053479999995,-17267.892569000003,2301.946187999998,-17899.151728999997,-3995.6154319999987,-24196.713348999998,,,,,,,,,,,,
