countries,Year,GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro]
Belgium,1995,15931.512813291725,6614.995576361221,15304.260112704374,5987.742875773871,9046.66769494009,-269.8495419904133,,,,,,,,,,,,
Bulgaria,1995,-4825.325288362342,-13910.438254397728,-5102.96077292001,-14188.073738955392,-7872.705249816729,-16957.818215852116,,,,,,,,,,,,
Cyprus,1995,8571.11673863765,7519.705639457142,8122.065500566317,7070.654401385809,3642.2448159975465,2590.8337168170397,,,,,,,,,,,,
Czechia,1995,-2622.249951781453,-14198.14367897684,-3232.900317143998,-14808.794044339385,-9324.864676356055,-20900.75840355144,,,,,,,,,,,,
Germany,1995,21139.982550780274,16356.63784854151,20574.645700209017,15791.300997970253,14934.737595700533,10151.392893461765,,,,,,,,,,,,
Denmark,1995,24419.13086520398,21253.43839045746,23734.42475954413,20568.732284797607,16903.66622927083,13737.973754524306,24323.083681038737,21157.39120629221,23574.346119268717,20408.65364452219,16104.797586372575,12939.105111626051,24244.585495362287,21078.893020615764,23443.51580980797,20277.823335061443,15451.892042016076,12286.199567269552
Estonia,1995,-1403.9304228026865,-2496.163647601126,-1888.8405552198608,-2981.0737800182997,-6726.39640004834,-7818.62962484678,,,,,,,,,,,,
Greece,1995,6461.73778254747,3121.178461068571,6037.033579148315,2696.4742576694166,1800.103549999607,-1540.4557714792923,,,,,,,,,,,,
Spain,1995,8467.874915053651,3684.3566232016847,8159.996840921655,3376.478549069689,5088.546529938174,305.0282380862079,,,,,,,,,,,,
Finland,1995,18342.971878031378,16895.39954800722,17955.431231826442,16507.858901802287,14089.251928020061,12641.679597995904,,,,,,,,,,,,
France,1995,16907.369817847008,11794.967495633786,16545.054924848107,11432.652602634886,12930.53253993049,7818.130217717267,,,,,,,,,,,,
Croatia,1995,-50.53455960460933,-4311.31471188542,-178.38309787325016,-4439.16325015406,-1453.8244677437315,-5714.604620024542,,,,,,,,,,,,
Hungary,1995,-295.8563021080225,-6606.989568334188,-585.50962086546,-6896.642887091623,-3475.146300850368,-9786.279567076532,-350.7540591997442,-6661.887325425908,-677.0058826849959,-6988.13914891116,-3931.7562169783387,-10242.8894832045,-440.6009929406862,-6751.734259166852,-826.7507722532335,-7137.884038479399,-4679.054523014114,-10990.187789240277
Ireland,1995,10383.072248935892,6384.364116024581,9603.423147878168,5604.715014966852,1825.4952111355917,-2173.2129217757206,,,,,,,,,,,,
Italy,1995,10663.691369061316,1960.9883544745517,10285.591986620744,1582.8889720339798,6513.600528463594,-2189.1024861231704,,,,,,,,,,,,
Lithuania,1995,624.4664724672666,-407.7043130219098,417.86884979951907,-614.3019356896572,-1643.1883858620567,-2675.3591713512333,,,,,,,,,,,,
Latvia,1995,-907.5607115149286,-3121.6475925585264,-870.3338281518689,-3084.4207091954668,-498.9513488870581,-2713.0382299306566,,,,,,,,,,,,
Malta,1995,6422.941551351766,5258.5253790183115,6123.136486439818,4958.720314106361,3132.2240531515567,1967.8078808181003,6380.302159640626,5215.88598730717,6052.070833587916,4887.65466125446,2777.5726046334944,1613.1564323000384,6166.98451745729,5002.568345123833,5696.541429949021,4532.125257615566,1003.311580759392,-161.10459157406467
Netherlands,1995,18762.65071716886,13498.688661694974,18114.45928429508,12850.497228821194,11647.978084911414,6384.016029437526,18726.87549778976,13462.913442315874,18054.833918663247,12790.87186318936,11350.419117377312,6086.457061903427,18538.948768475766,13274.986713001881,17741.62270313993,12477.66064766604,9787.346003718072,4523.3839482441845
Norway,1995,25209.860196133897,23800.617733256662,24852.612305525603,23443.369842648364,21288.63930160003,19879.396838722794,,,,,,,,,,,,
Poland,1995,-670.7694826236096,-5152.664093507935,-1138.2412239240357,-5620.135834808362,-5801.828357373525,-10283.72296825785,,,,,,,,,,,,
Portugal,1995,4620.828481517854,1044.2445098788967,4372.054161201815,795.4701895628586,1890.2341561441947,-1686.3498154947622,4550.413068579917,973.8290969409599,4254.695139638587,678.1111679996308,1304.5567532953235,-2272.027218343635,4493.15343969257,916.5694680536125,4159.262424826343,582.6784531873867,828.3020622323141,-2748.2819094066426
Romania,1995,-1200.2084735761453,-4424.07773266878,-1491.6804214474264,-4715.549680540061,-4399.460091877589,-7623.3293509702235,,,,,,,,,,,,
Sweden,1995,22396.555240976995,21456.84463432331,22250.37245010169,21310.661843448008,20792.025083988545,19852.31447733486,,,,,,,,,,,,
Slovenia,1995,2792.2356649511403,-7661.170576990838,2502.438436835409,-7950.967805106568,-388.6339103191433,-10842.040152261117,,,,,,,,,,,,
Slovakia,1995,-380.751820644721,-5278.617113192226,-724.0086477240328,-5621.873940271538,-4148.404136920025,-9046.269429467531,-492.67802495123817,-5390.543317498745,-910.5523215682297,-5808.417614115735,-5079.345899723442,-9977.211192270943,-520.8575557274016,-5418.722848274907,-957.5182061951675,-5855.3834987426735,-5313.72802871883,-10211.593321266331
Belgium,1996,15937.337002283437,6865.070166588007,15296.562248898183,6224.295413202757,8904.071256792953,-168.19557890247287,,,,,,,,,,,,
Bulgaria,1996,-5409.306937564365,-14473.317056572585,-5693.525363593157,-14757.535482601375,-8528.942518499434,-17592.952637507657,,,,,,,,,,,,
Cyprus,1996,8856.67717911487,7795.074948235118,8392.753774379775,7331.151543500024,3764.565522379647,2702.9632914998956,,,,,,,,,,,,
Czechia,1996,-1652.331007860991,-12521.275590853284,-2278.2779659315684,-13147.222548923859,-8522.844047635655,-19391.78863062795,,,,,,,,,,,,
Germany,1996,21140.796596226926,16746.61898702135,20565.267572050816,16171.089962845233,14823.68040229389,10429.502793088312,,,,,,,,,,,,
