countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Belgium,1990,,9947782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1991,,9986975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1992,,10021997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1993,,10068319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1994,,10100631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1995,220251500000.0,10130574.0,161395369487.0,67013702196.0,155040939587.0,60659272296.0,91647936537.0,-2733730754.0,,,,,,,,,,,,,15931.512813291725,6614.995576361221,15304.260112704374,5987.74287577387,9046.66769494009,-269.84954199041437,,,,,,,,,,,,,21741.26559857319
Belgium,1996,219965300000.0,10143047.0,161653158269.0,69632729358.0,155153749829.0,63133320918.0,90314413249.0,-1706015662.0,,,,,,,,,,,,,15937.337002283437,6865.070166588009,15296.562248898186,6224.295413202759,8904.071256792953,-168.19557890247378,,,,,,,,,,,,,21686.31378716869
Belgium,1997,223032700000.0,10170226.0,166242333155.0,77927760994.0,160077079655.0,71762507494.0,98571336405.0,10256764244.0,,,,,,,,,,,,,16345.982198920654,7662.343097783668,15739.776053649151,7056.136952512166,9692.14808058346,1008.5089794464744,,,,,,,,,,,,,21929.964978162727
Belgium,1998,231015700000.0,10192264.0,177662985659.0,91336713543.0,171303018899.0,84976746783.0,107854779079.0,21528506963.0,,,,,,,,,,,,,17431.160109176923,8961.37634808125,16807.160695503964,8337.376934408292,10582.023687671355,2112.2399265756853,,,,,,,,,,,,,22665.788484285727
Belgium,1999,242307600000.0,10213752.0,191899538976.0,112404761217.0,185783284776.0,106288507017.0,124766367876.0,45271590117.0,,,,,,,,,,,,,18788.34917628703,11005.236980200812,18189.52376913009,10406.411573043873,12215.527445350152,4432.415249263933,,,,,,,,,,,,,23723.66198043579
