countries,Year,GHG [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t]
Belgium,1990,142908440.0,,9947782.0,7.0,258.0,422440.0,364550.0,131562.0,48616.0,66988.0,353481.0,6.0,6.0,38.0,77.0
Bulgaria,1990,82655300.0,,8767308.0,20.0,385.0,305901.0,1464653.0,113228.0,42668.0,68223.0,476460.0,7.0,3.0,19.0,84.0
Cyprus,1990,5499590.0,,572655.0,0.0,25.0,18135.0,31918.0,5631.0,2725.0,5439.0,13334.0,0.0,0.0,0.0,6.0
Czechia,1990,192141740.0,,10362102.0,70.0,317.0,760291.0,1753815.0,135773.0,298976.0,433081.0,554501.0,5.0,5.0,26.0,55.0
Germany,1990,1287200400.0,1245386.0,62679035.0,86.0,1899.0,2843280.0,5464106.0,725519.0,232873.0,548673.0,3948879.0,29.0,36.0,166.0,333.0
Denmark,1990,78412430.0,108898.0,5135409.0,1.0,132.0,294287.0,178013.0,141265.0,23070.0,35138.0,212371.0,1.0,3.0,6.0,19.0
Estonia,1990,36580890.0,,1570599.0,20.0,202.0,74611.0,278247.0,20724.0,12926.0,53167.0,64059.0,4.0,1.0,17.0,26.0
Greece,1990,101738100.0,,10120892.0,2.0,505.0,409327.0,511846.0,90890.0,60818.0,85198.0,321014.0,8.0,2.0,6.0,42.0
Spain,1990,253814280.0,,38853227.0,10.0,3179.0,1311378.0,2049593.0,488746.0,217017.0,311380.0,1025596.0,26.0,10.0,27.0,164.0
European Union - 27 countries (from 2020),1990,4658202370.0,,418030739.0,570.0,20461.0,15126811.0,21354143.0,4902121.0,2680401.0,4182406.0,16112072.0,160.0,147.0,1018.0,1926.0
Finland,1990,45447250.0,111394.9,4974383.0,35.0,321.0,306578.0,248820.0,35872.0,47150.0,73970.0,235049.0,7.0,1.0,48.0,78.0
France,1990,522168760.0,999521.7,,17.0,4288.0,2182493.0,1286891.0,675460.0,467778.0,588533.0,2928043.0,20.0,26.0,399.0,286.0
Croatia,1990,25141980.0,,4772556.0,9.0,523.0,105859.0,170560.0,50074.0,40353.0,59666.0,171757.0,1.0,1.0,5.0,17.0
Hungary,1990,91623490.0,,10374823.0,4.0,818.0,246549.0,829286.0,137767.0,56749.0,81513.0,310634.0,2.0,3.0,18.0,12.0
Ireland,1990,61652280.0,,3506970.0,2.0,161.0,168724.0,183074.0,110699.0,28556.0,44804.0,154465.0,1.0,1.0,5.0,22.0
Iceland,1990,13291650.0,,253785.0,0.0,0.0,28855.0,23178.0,4845.0,1436.0,3011.0,9798.0,0.0,0.0,0.0,2.0
Italy,1990,517991610.00000006,,56694360.0,37.0,4304.0,2124051.0,1783444.0,468959.0,238043.0,343793.0,1981510.0,11.0,15.0,96.0,116.0
Lithuania,1990,42821000.0,,3693708.0,1.0,10.0,151439.0,218332.0,84940.0,16078.0,19662.0,128062.0,0.0,0.0,3.0,32.0
Latvia,1990,13673030.0,,2668140.0,17.0,233.0,98936.0,100460.0,33331.0,25646.0,31200.0,86492.0,1.0,0.0,3.0,15.0
Malta,1990,2618430.0,,352430.0,0.0,0.0,7232.0,12788.0,2206.0,524.0,888.0,4585.0,0.0,0.0,0.0,4.0
Netherlands,1990,228935360.0,,14892574.0,2.0,339.0,679525.0,198101.0,344489.0,57120.0,80163.0,607153.0,4.0,4.0,12.0,76.0
Norway,1990,41476600.0,94339.9,4233116.0,3.0,189.0,196598.0,49474.0,31462.0,41452.0,52980.0,325408.0,2.0,1.0,11.0,0.0
Poland,1990,446344590.0,,38038403.0,144.0,544.0,1121251.0,2553498.0,494745.0,422497.0,787189.0,840949.0,12.0,15.0,56.0,200.0
Portugal,1990,66689409.99999999,,9995995.0,3.0,570.0,260101.0,317733.0,72922.0,63837.0,79999.0,249398.0,2.0,2.0,12.0,111.0
Romania,1990,228533250.0,,23211395.0,73.0,729.0,473801.0,819340.0,320294.0,77282.0,132617.0,395300.0,5.0,4.0,25.0,113.0
Sweden,1990,25142830.0,,8527039.0,6.0,369.0,289244.0,102398.0,60349.0,45509.0,66616.0,366673.0,2.0,2.0,23.0,28.0
Slovenia,1990,14403090.0,,1996377.0,1.0,43.0,75153.0,202943.0,23820.0,13818.0,16389.0,65056.0,1.0,0.0,2.0,3.0
Slovakia,1990,64493629.99999999,,5287663.0,3.0,54.0,136338.0,139660.0,57550.0,96425.0,107941.0,255147.0,1.0,2.0,6.0,7.0
Belgium,1991,146108990.0,,9986975.0,7.0,243.0,421288.0,365687.0,129484.0,47693.0,65712.0,346853.0,6.0,6.0,56.0,83.0
Bulgaria,1991,64515020.00000001,,8669269.0,14.0,185.0,231647.0,1241581.0,94126.0,35676.0,57636.0,426728.0,6.0,3.0,15.0,61.0
Cyprus,1991,5989310.0,,587141.0,0.0,26.0,17919.0,32784.0,5675.0,2698.0,5316.0,12932.0,0.0,0.0,0.0,6.0
Czechia,1991,172694080.0,,10304607.0,47.0,255.0,721073.0,1649744.0,125341.0,234228.0,347673.0,496490.0,4.0,5.0,23.0,46.0
Germany,1991,1180108960.0,1512391.8,79753227.0,58.0,1453.0,2616106.0,3963979.0,649182.0,227066.0,415675.0,3426536.0,25.0,30.0,138.0,313.0
Denmark,1991,88426930.0,112605.4,5146469.0,2.0,111.0,343991.0,238678.0,136070.0,24529.0,36535.0,220667.0,1.0,3.0,6.0,21.0
Estonia,1991,33834260.0,,1567749.0,17.0,184.0,66641.0,252166.0,18795.0,12750.0,50026.0,61236.0,4.0,1.0,15.0,23.0
Greece,1991,101633540.0,,10272691.0,2.0,479.0,408900.0,506469.0,88323.0,61013.0,84911.0,322262.0,7.0,2.0,6.0,44.0
Spain,1991,261369910.0,,38881416.0,10.0,2061.0,1351115.0,2071451.0,486589.0,212292.0,306724.0,1029710.0,25.0,11.0,29.0,181.0
European Union - 27 countries (from 2020),1991,4450345790.0,,419504036.0,423.0,15344.0,14841792.0,19232203.0,4642092.0,2672258.0,4125784.0,15403676.0,146.0,138.0,937.0,1869.0
