countries,Year,External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro]
Belgium,1990,67208813911.0,176750076305.0,73210968391.0,182752230785.0,133089604751.0,242630867145.0,,,,,,,,,,,,
Belgium,1991,66612136163.0,175335750097.0,72748713743.0,181472327677.0,133968380553.0,242691994487.0,,,,,,,,,,,,
Belgium,1992,66505965457.0,173771827044.0,72629033737.0,179894895324.0,133713929197.0,240979790784.0,,,,,,,,,,,,
Belgium,1993,63313570122.0,167270182525.0,69386342142.0,173342954545.0,129969472532.0,233926084935.0,,,,,,,,,,,,
Belgium,1994,59388628053.0,158021557339.0,65663019393.0,164295948679.0,128257542523.0,226890471809.0,,,,,,,,,,,,
Belgium,1995,58856130513.0,153237797804.0,65210560413.0,159592227704.0,128603563463.0,222985230754.0,,,,,,,,,,,,
Belgium,1996,58312141731.0,150332570642.0,64811550171.0,156831979082.0,129650886751.0,221671315662.0,,,,,,,,,,,,
Belgium,1997,56790366845.0,145104939006.0,62955620345.0,151270192506.0,124461363595.0,212775935756.0,,,,,,,,,,,,
Belgium,1998,53352714341.0,139678986457.0,59712681101.0,146038953217.0,123160920921.0,209487193037.0,,,,,,,,,,,,
Belgium,1999,50408061024.0,129902838783.0,56524315224.0,136019092983.0,117541232124.0,197036009883.0,,,,,,,,,,,,
Belgium,2000,46194944021.0,120699395121.0,52376972321.0,126881423421.0,114050064171.0,188554515271.0,,,,,,,,,,,,
Belgium,2001,44190301482.0,116536105258.0,50314090482.0,122659894258.0,111406175982.0,183751979758.0,,,,,,,,,,,,
Belgium,2002,42972171265.0,111968461835.0,49075100965.0,118071391535.0,109959090115.0,178955380685.0,,,,,,,,,,,,
Belgium,2003,42486149924.0,110560318311.0,48606823364.0,116680991751.0,109667827444.0,177741995831.0,,,,,,,,,,,,
Belgium,2004,43015895257.0,111097562126.0,49182263857.0,117263930726.0,110699131557.0,178780798426.0,,,,,,,,,,,,
Belgium,2005,40157538345.0,103840750815.0,46190968965.0,109874181435.0,106381622055.0,170064834525.0,,,,,,,,,,,,
Belgium,2006,39607968935.0,102104242997.0,45528873155.0,108025147217.0,104596941445.0,167093215507.0,,,,,,,,,,,,
Belgium,2007,37404729557.0,96493339515.0,43186091297.0,102274701255.0,100862057227.0,159950667185.0,,,,,,,,,,,,
Belgium,2008,35832555265.0,90084265411.0,41614505005.0,95866215151.0,99296336935.0,153548047081.0,35941397724.67,90193107870.67,41795909104.45,96047619250.45,100201629774.16,154453339920.16,43130302524.67,97382012670.67,53777417104.45,108029127250.45,159995060174.16,214246770320.16
Belgium,2009,30727945341.0,78851556827.0,35988296661.0,84111908147.0,88466563401.0,136590174887.0,30881275627.41,79004887113.41,36243847138.35,84367458624.35,89741881973.68,137865493459.68,36725993527.41,84849605013.41,45985043638.35,94108655124.35,138355091173.68,186478702659.68
Belgium,2010,31311032235.0,78933084892.0,36908878755.0,84530931412.0,92754061895.0,140376114552.0,31490052520.29,79112105177.29001,37207245897.15,84829298554.15,94243056013.92001,141865108670.92,37884382420.29,85506435077.29001,47864462397.15,95486515054.15,147427641213.92,195049693870.92
Belgium,2011,27957887711.0,70313520998.0,33119756591.0,75475389878.0,84615543751.0,126971177038.0,28154903222.42,70510536509.42,33448115776.7,75803749063.7,86254212449.16,128609845736.16,35389470422.42,77745103709.42,45505727776.7,87861361063.7,146427438049.16,188783071336.16
Belgium,2012,27098567164.0,68401433259.0,32145596284.0,73448462379.0,82495720124.0,123798586219.0,27267084911.44,68569951006.44,32426459196.4,73729325291.4,83897359801.12,125200225896.12,33999252311.440002,75302118406.44,43646738196.399994,84949604291.4,139891895001.12,181194761096.12
Belgium,2013,26654250766.0,67280859837.0,31677441946.0,72304051017.0,81789753956.0,122416363027.0,26824100496.61,67450709567.61,31960524830.35,72587133901.35,83202472350.28,123829081421.28,33579993696.61,74206602767.61,43220346830.35,83846955901.35,139394345950.28,180020955021.28
Belgium,2014,24533680430.0,61412542010.0,29320493090.0,66199354670.0,77074647960.0,113953509540.0,24693688161.38,61572549741.380005,29587172642.300003,66466034222.3,78405505916.24,115284367496.24,31948661061.379997,68827522641.38,41678794142.3,78557655722.3,138748455116.24,175627316696.24
Belgium,2015,25591497065.0,63322667918.0,30553131365.0,68284302218.0,80051340215.0,117782511068.0,25710899262.11,63442070115.11,30752135026.85,68483305879.85,81044463251.28,118775634104.28,32466269562.11,70197440415.11,42011085526.85,79742256379.85,137231987651.28,174963158504.28
Belgium,2016,24986799986.0,61330802807.0,29886147866.0,66230150687.0,78762975526.0,115106978347.0,25164462633.26,61508465454.259995,30182252278.1,66526255099.1,80240677544.48,116584680365.48,32000580033.260002,68344582854.26,41575781278.100006,77919784099.1,137099812744.48001,173443815565.48
Belgium,2017,23667753586.0,58063202518.0,28550838226.0,62946287158.0,77265420706.0,111660869638.0,23854223746.66,58249672678.66,28861621827.1,63257070759.1,78816378867.68,113211827799.68,30295740646.66,64691189578.66,39597483327.1,73992932259.1,132393440067.68,166788888999.68
Belgium,2018,22838526083.0,56125785230.0,27751545803.0,61038804950.0,76764766343.0,110052025490.0,23048518642.49,56335777789.49,28101533402.15,61388792549.15,78511371123.52,111798630270.52,29889291742.489998,63176550889.49,39502821902.149994,72790081049.15,135409229923.51999,168696489070.52
Belgium,2019,22249948479.0,54167794187.0,27121244559.0,59039090267.0,75718222119.0,107636067827.0,22489411478.37,54407257186.37,27520349557.949997,59438195265.95,77709946113.76,109627791821.76,28901375078.370003,60819220786.37,38206955557.95,70124801265.95,131041198913.76001,162959044621.76
Belgium,2020,20415989997.0,49724154349.0,24907375497.0,54215539849.0,69714292747.0,99022457099.0,20499859188.0,49808023540.0,25047157482.0,54355321834.0,70411871415.0,99720035767.0,26026912188.0,55335076540.0,34258912482.0,63567076834.0,116382915415.0,145691079767.0
Belgium,2021,21079609572.0,51425342340.0,25725958692.0,56071691460.0,72078822532.0,102424555300.0,21074954301.03,51420687069.03,25718199907.050003,56063932675.05,72040102500.44,102385835268.44,27625385601.03,57971118369.03,36635585407.05,66981318175.05,126523054900.44,156868787668.44
Bulgaria,1990,54683047513.0,134278355808.0,58154570113.0,137749878408.0,92787140813.0,172382449108.0,,,,,,,,,,,,
Bulgaria,1991,40998003762.0,107525804354.0,43707634602.0,110235435194.0,70739427982.0,137267228574.0,,,,,,,,,,,,
Bulgaria,1992,38496392071.0,99436681476.0,40993743571.0,101934032976.0,65907797821.0,126848087226.0,,,,,,,,,,,,
Bulgaria,1993,52372470171.0,127193775340.0,54827927931.0,129649233100.0,79324042251.0,154145347420.0,,,,,,,,,,,,
Bulgaria,1994,55246180876.0,134214330792.0,57524816536.0,136492966452.0,80256919906.0,159225069822.0,,,,,,,,,,,,
Bulgaria,1995,55177833191.0,131741877733.0,57517583471.0,134081628013.0,80859377931.0,157423422473.0,,,,,,,,,,,,
Bulgaria,1996,55185297019.0,131184438624.0,57568387519.0,133567529124.0,81342552269.0,157341693874.0,,,,,,,,,,,,
Bulgaria,1997,43969890834.0,117082298469.0,46207730214.0,119320137849.0,68532842124.0,141645249759.0,,,,,,,,,,,,
Bulgaria,1998,42580481457.0,111381135431.0,44658238677.0,113458892651.0,65386340467.0,134186994441.0,,,,,,,,,,,,
Bulgaria,1999,35731168504.0,91467645119.0,37517086624.0,93253563239.0,55333745964.0,111070222579.0,,,,,,,,,,,,
Bulgaria,2000,34772056670.0,93183655210.0,36468017090.0,94879615630.0,53387241280.0,111798839820.0,,,,,,,,,,,,
Bulgaria,2001,31808531982.0,85524208687.0,33737232882.0,87452909587.0,52978320432.0,106693997137.0,,,,,,,,,,,,
Bulgaria,2002,32324596138.0,86075954554.0,34131852778.0,87883211194.0,52161389258.0,105912747674.0,,,,,,,,,,,,
Bulgaria,2003,34468060573.0,92017820723.0,36499861813.0,94049621963.0,56769497993.0,114319258143.0,,,,,,,,,,,,
Bulgaria,2004,30137658903.0,86409734577.0,32099304603.0,88371380277.0,51669055753.0,107941131427.0,,,,,,,,,,,,
Bulgaria,2005,30046339402.0,86250029691.0,31977645142.0,88181335431.0,51244719072.0,107448409361.0,,,,,,,,,,,,
Bulgaria,2006,29731964386.0,84584908694.0,31833198766.0,86686143074.0,52795513176.0,107648457484.0,,,,,,,,,,,,
Bulgaria,2007,30429651643.0,86905540889.0,32655807883.0,89131697129.0,54864366563.0,111340255809.0,,,,,,,,,,,,
Bulgaria,2008,28942350823.0,75299495954.0,31181172163.0,77538317294.0,53516080293.0,99873225424.0,29818607649.760002,76175752780.76,32641600207.6,78998745338.6,60804311677.479996,107161456808.48,29880221019.76,76237366150.76,32744289157.6,79101434288.6,61316778437.479996,107673923568.48
Bulgaria,2009,20695013059.0,59881270033.0,22557482899.0,61743739873.0,41137836779.0,80324093753.0,21569397227.77,60755654201.770004,24014789846.95,63201046820.95,48410492404.96,87596749378.95999,21515517737.77,60701774711.770004,23924990696.95,63111247670.95,47962351884.96,87148608858.95999
Bulgaria,2010,19306245576.0,50436395903.0,21304604316.0,52434754643.0,41240611746.0,72370762073.0,20134369390.98,51264519717.979996,22684810674.3,53814961001.3,48128498715.04,79258649042.04001,19953515290.98,51083665617.979996,22383387174.3,53513537501.3,46624251915.04,77754402242.04001
Bulgaria,2011,23407386863.0,66916039247.0,25771253543.0,69279905927.0,49353637803.0,92862290187.0,24023362172.809998,67532014556.81,26797879059.35,70306531443.35,54476987998.88,97985640382.88,23634198572.809998,67142850956.81,26149273059.35,69657925443.35,51240135198.88,94748787582.88
Bulgaria,2012,16888787000.0,48397051384.0,19061324360.0,50569588744.0,40734970880.0,72243235264.0,17473268660.21,48981533044.21,20035460460.35,51543724844.35,45596373895.08,77104638279.08,17195161460.21,48703425844.21,19571948460.35,51080212844.35,43283228295.08,74791492679.08
Bulgaria,2013,15571992234.0,40311449521.0,17572925994.0,42312383281.0,37534622314.0,62274079601.0,16075513748.37,40814971035.37,18412128517.95,43151585804.95,41722642528.76,66462099815.76,15798527948.37,40537985235.37,17950485517.95,42689942804.95,39418824128.76,64158281415.76
Bulgaria,2014,13714570198.0,38789107047.0,15790957378.0,40865494227.0,36505391388.0,61579928237.0,14305231099.81,39379767948.81,16775392214.349998,41849929063.35,41418189999.88,66492726848.88,13909219399.81,38983756248.81,16115372714.349998,41189909563.35,38124378399.88,63198915248.88
Bulgaria,2015,13705338873.0,38392429501.0,15923135013.0,40610225641.0,38048291743.0,62735382371.0,14276764314.93,38963854942.93,16875510749.55,41562601377.55,42801100180.64,67488190808.64,13797995814.93,38485086442.93,16077563249.55,40764653877.55,38818962180.64,63506052808.64
Bulgaria,2016,12123806624.0,33670431597.0,14154901424.0,35701526397.0,34417490024.0,55964114997.0,12823642883.78,34370267856.78,15321295190.3,36867920163.3,40238350343.44,61784975316.44,12458683883.78,34005308856.78,14713030190.3,36259655163.3,37202818343.44,58749443316.44
Bulgaria,2017,12078757128.0,33136327819.0,14194009428.0,35251580119.0,35296169278.0,56353739969.0,12778980231.72,33836550922.72,15361047934.2,36418618625.2,41120247156.56,62177817847.56,12378041931.72,33435612622.72,14692817434.2,35750388125.2,37785458756.56,58843029447.56
Bulgaria,2018,14012242658.0,34331627794.0,15938631038.0,36258016174.0,35156648448.0,55476033584.0,14718371463.62,35037756599.62,17115512380.7,37434897516.7,41029846767.76,61349231903.76,14538411963.62,34857797099.62,16815579880.7,37134965016.7,39533040767.76,59852425903.76
